,Date,FEIcm1,FEIcm2,FEIcm3,FEIcm4,FEIcm5,FEIcm6,FEIcm7,FEIcm8,FEIcm9,FEIcm10,FEIcm11,FEIcm12,FEIcm13,FEIcm14,FEIcm15,FEIcm16,FEIcm17,FEIcm18,Inverse of FEIcm1,Inverse of FEIcm2,Inverse of FEIcm3,Inverse of FEIcm4,Inverse of FEIcm5,Inverse of FEIcm6,Inverse of FEIcm7,Inverse of FEIcm8,Inverse of FEIcm9,Inverse of FEIcm10,Inverse of FEIcm11,Inverse of FEIcm12,Inverse of FEIcm13,Inverse of FEIcm14,Inverse of FEIcm15,Inverse of FEIcm16,Inverse of FEIcm17,Inverse of FEIcm18
26,2023-02-072023-02-082023-02-09,0.0,0.0,0.18,0.33,0.39,0.30000000000000004,0.21000000000000002,0.1,0.08,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.06,0.06,0.05,0.05
27,2023-02-082023-02-092023-02-10,0.0,0.0,0.16999999999999998,0.33,0.39,0.30000000000000004,0.22000000000000003,0.11000000000000001,0.08,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.05,0.04,0.04
28,2023-02-092023-02-102023-02-13,0.0,0.0,0.15,0.32,0.39,0.30000000000000004,0.23000000000000004,0.12,0.09,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.04,0.03,0.03
29,2023-02-102023-02-132023-02-14,0.0,0.0,0.12,0.30000000000000004,0.37,0.30000000000000004,0.24,0.13,0.09,0.06,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.03,0.03,0.03
30,2023-02-132023-02-142023-02-15,0.0,0.0,0.1,0.27,0.33999999999999997,0.30000000000000004,0.23,0.14,0.1,0.07,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0499999999999998,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.03,0.03
31,2023-02-142023-02-152023-02-16,0.0,0.0,0.09,0.24,0.30000000000000004,0.29000000000000004,0.22000000000000003,0.15000000000000002,0.11000000000000001,0.08,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,1.08,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.03,0.03
32,2023-02-152023-02-162023-02-17,0.0,0.0,0.09,0.23000000000000004,0.3,0.28,0.21000000000000002,0.15000000000000002,0.12,0.08,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,1.1,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.03,0.03
33,2023-02-162023-02-172023-02-20,0.0,0.0,0.08,0.23000000000000004,0.31,0.27,0.21000000000000002,0.15000000000000002,0.11,0.07,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,1.12,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03
34,2023-02-172023-02-202023-02-21,0.0,0.0,0.060000000000000005,0.23,0.33,0.27,0.21000000000000002,0.14,0.1,0.06,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03
35,2023-02-202023-02-212023-02-22,0.0,0.0,0.04,0.22000000000000003,0.32,0.27,0.21000000000000002,0.13,0.09,0.06,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.1600000000000001,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.03,0.03
36,2023-02-212023-02-222023-02-23,0.0,0.0,0.03,0.21000000000000002,0.31000000000000005,0.27,0.21000000000000002,0.12,0.09,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1800000000000002,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,0.03,0.03
37,2023-02-222023-02-232023-02-24,0.0,0.0,0.02,0.19,0.28,0.26,0.21000000000000002,0.13,0.1,0.07,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,1.19,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,0.03,0.03
38,2023-02-232023-02-242023-02-27,0.0,0.0,0.01,0.15000000000000002,0.25,0.24,0.21000000000000002,0.14,0.11000000000000001,0.08,0.05,0.02,0.02,0.0,0.0,0.0,0.0,0.0,1.1800000000000002,0.35,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.04,0.04
39,2023-02-242023-02-272023-02-28,0.0,0.0,0.0,0.09,0.21000000000000002,0.22000000000000003,0.21000000000000002,0.16,0.12,0.09,0.06,0.03,0.02,0.0,0.0,0.0,0.0,0.0,1.1800000000000002,0.38,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.05
40,2023-02-272023-02-282023-03-01,0.0,0.0,0.0,0.05,0.19,0.21000000000000002,0.21000000000000002,0.16999999999999998,0.12,0.09,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,1.2,0.4,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.06
41,2023-02-282023-03-012023-03-02,0.0,0.0,0.0,0.04,0.18,0.21000000000000002,0.2,0.16999999999999998,0.12,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.42000000000000004,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.06
42,2023-03-012023-03-022023-03-03,0.0,0.0,0.0,0.06,0.19,0.22000000000000003,0.19,0.15,0.11,0.07,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.44000000000000006,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.04,0.06
43,2023-03-022023-03-032023-03-06,0.0,0.0,0.0,0.08,0.2,0.23000000000000004,0.19,0.14,0.11000000000000001,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.44999999999999996,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.05,0.06
