,Date,FEIcm2,FEIcm3,FEIcm4,FEIcm5,FEIcm6,FEIcm7,FEIcm8,FEIcm9,FEIcm10,FEIcm11,FEIcm12,FEIcm13,FEIcm14,FEIcm15,FEIcm16,FEIcm17,FEIcm18,FEIcm19,Inverse of FEIcm2,Inverse of FEIcm3,Inverse of FEIcm4,Inverse of FEIcm5,Inverse of FEIcm6,Inverse of FEIcm7,Inverse of FEIcm8,Inverse of FEIcm9,Inverse of FEIcm10,Inverse of FEIcm11,Inverse of FEIcm12,Inverse of FEIcm13,Inverse of FEIcm14,Inverse of FEIcm15,Inverse of FEIcm16,Inverse of FEIcm17,Inverse of FEIcm18,Inverse of FEIcm19
37,2023-02-222023-02-232023-02-24,1.1600000000000001,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,0.03,0.0,0.0,0.02,0.19,0.28,0.26,0.21000000000000002,0.13,0.1,0.07,0.06,0.04,0.01,0.0,0.0,0.0,0.0,0.0
38,2023-02-232023-02-242023-02-27,1.15,0.33999999999999997,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.03,0.0,0.0,0.01,0.15000000000000002,0.25,0.25,0.21000000000000002,0.15,0.12000000000000001,0.08,0.08,0.05,0.02,0.0,0.0,0.0,0.0,0.0
39,2023-02-242023-02-272023-02-28,1.15,0.36,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.1,0.21000000000000002,0.24,0.21000000000000002,0.16999999999999998,0.14,0.09,0.08,0.06,0.03,0.01,0.0,0.0,0.0,0.0
40,2023-02-272023-02-282023-03-01,1.1600000000000001,0.37,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.060000000000000005,0.19,0.24,0.21000000000000002,0.18,0.15000000000000002,0.09,0.08,0.05,0.03,0.01,0.0,0.0,0.0,0.0
41,2023-02-282023-03-012023-03-02,1.1800000000000002,0.39,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.05,0.18,0.24,0.21000000000000002,0.18,0.14,0.09,0.07,0.04,0.03,0.01,0.0,0.0,0.0,0.0
42,2023-03-012023-03-022023-03-03,1.2,0.41000000000000003,0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.06,0.19,0.24,0.21000000000000002,0.16999999999999998,0.13,0.09,0.07,0.03,0.02,0.0,0.0,0.0,0.0,0.0
43,2023-03-022023-03-032023-03-06,1.2000000000000002,0.42000000000000004,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,0.0,0.0,0.0,0.08,0.2,0.25,0.21000000000000002,0.16,0.12,0.09,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0
44,2023-03-032023-03-062023-03-07,1.21,0.42000000000000004,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,0.0,0.0,0.0,0.1,0.22000000000000003,0.26,0.21000000000000002,0.15000000000000002,0.13,0.09,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0
45,2023-03-062023-03-072023-03-08,1.19,0.42000000000000004,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,0.0,0.0,0.0,0.11000000000000001,0.23000000000000004,0.26,0.21000000000000002,0.15000000000000002,0.13,0.09,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0
46,2023-03-072023-03-082023-03-09,1.1800000000000002,0.41000000000000003,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.12,0.24,0.26,0.21000000000000002,0.15000000000000002,0.13,0.09,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0
